created_at,entry_id,field1,field2
2017-05-29 04:59:53 UTC,1,248.7,104.8
2017-05-29 05:07:23 UTC,2,253.9,107
2017-05-29 05:11:53 UTC,3,253.6,117.3
2017-05-29 05:19:23 UTC,4,244.8,118.1
2017-05-29 05:25:23 UTC,5,248.8,118.4
2017-05-29 05:34:23 UTC,6,250.3,122.1
2017-05-29 05:38:53 UTC,7,249,141.1
2017-05-29 05:44:53 UTC,8,251.9,143.7
2017-05-29 05:49:23 UTC,9,251.5,143.8
2017-05-29 05:52:23 UTC,10,247.5,145.7
2017-05-29 05:56:53 UTC,11,249.2,149.9
2017-05-29 06:02:53 UTC,12,244.3,151.4
2017-05-29 06:10:23 UTC,13,255.7,150.6
2017-05-29 06:13:23 UTC,14,246.1,151.4
2017-05-29 06:20:53 UTC,15,245.4,150.9
2017-05-29 06:25:23 UTC,16,248.5,151.8
2017-05-29 06:34:23 UTC,17,246.4,149.1
2017-05-29 06:40:23 UTC,18,249.9,149.5
2017-05-29 06:46:23 UTC,19,248.1,150.2
2017-05-29 06:50:53 UTC,20,255.3,151.3
2017-05-29 06:55:23 UTC,21,255,151.8
2017-05-29 07:01:23 UTC,22,244.7,149
2017-05-29 07:10:23 UTC,23,252.8,149.3
2017-05-29 07:16:23 UTC,24,247.3,150.3
2017-05-29 07:19:23 UTC,25,249.1,151.3
2017-05-29 07:28:23 UTC,26,250.6,150.6
2017-05-29 07:34:23 UTC,27,255.2,151.3
2017-05-29 07:43:23 UTC,28,249,149.4
2017-05-29 07:47:53 UTC,29,255.7,151.1
2017-05-29 07:55:23 UTC,30,247.7,154.9
2017-05-29 07:58:23 UTC,31,252.4,148.9
2017-05-29 08:02:53 UTC,32,252,151.3
2017-05-29 08:10:23 UTC,33,250.5,152.1
2017-05-29 08:17:53 UTC,34,252.3,149.3
2017-05-29 08:26:53 UTC,35,252,150.1
2017-05-29 08:34:23 UTC,36,246.2,149.5
2017-05-29 08:40:23 UTC,37,245.6,151.2
2017-05-29 08:47:53 UTC,38,255.9,149.5
2017-05-29 08:56:53 UTC,39,246.1,152.1
2017-05-29 09:05:53 UTC,40,244.5,149
2017-05-29 09:14:53 UTC,41,250.7,149
2017-05-29 09:22:23 UTC,42,254.5,151.5
2017-05-29 09:28:23 UTC,43,252,151.7
2017-05-29 09:31:23 UTC,44,266.3,156.7
2017-05-29 09:35:53 UTC,45,248.5,151.3
2017-05-29 09:38:53 UTC,46,249.5,150.6
2017-05-29 09:44:53 UTC,47,255.7,150.8
2017-05-29 09:53:53 UTC,48,245.9,149.5
2017-05-29 09:58:23 UTC,49,254.2,153.5
2017-05-29 10:07:23 UTC,50,251.7,149.1
2017-05-29 10:11:53 UTC,51,248.5,149.1
2017-05-29 10:16:23 UTC,52,246.4,150
2017-05-29 10:22:23 UTC,53,249.2,150.9
2017-05-29 10:26:53 UTC,54,249.8,151.8
2017-05-29 10:34:23 UTC,55,245.5,151.1
2017-05-29 10:38:53 UTC,56,251.1,151.1
2017-05-29 10:47:53 UTC,57,246.8,151.1
2017-05-29 10:52:23 UTC,58,248.6,151.5
2017-05-29 10:56:53 UTC,59,255.2,153.9
2017-05-29 11:04:23 UTC,60,247.1,150.6
2017-05-29 11:13:23 UTC,61,247.5,150
2017-05-29 11:22:23 UTC,62,251.4,151.9
2017-05-29 11:29:53 UTC,63,247.2,149.7
2017-05-29 11:37:23 UTC,64,253.8,150.5
2017-05-29 11:46:23 UTC,65,255.7,151.3
2017-05-29 11:55:23 UTC,66,252.7,149.7
2017-05-29 11:59:53 UTC,67,248.2,151.6
2017-05-29 12:07:23 UTC,68,251,150.6
2017-05-29 12:11:53 UTC,69,245.4,151.8
2017-05-29 12:17:53 UTC,70,254.8,150
2017-05-29 12:25:23 UTC,71,254.5,152
2017-05-29 12:32:53 UTC,72,253.7,152.7
2017-05-29 12:37:23 UTC,73,247.2,152.5
2017-05-29 12:44:53 UTC,74,251.1,153.4
2017-05-29 12:53:53 UTC,75,244.4,158
2017-05-29 13:02:53 UTC,76,249.1,158.8
2017-05-29 13:11:53 UTC,77,247.8,159
2017-05-29 13:16:23 UTC,78,246,160.8
2017-05-29 13:25:23 UTC,79,246.2,161.1
2017-05-29 13:32:53 UTC,80,249.1,161.2
2017-05-29 13:40:23 UTC,81,245.2,163
2017-05-29 13:46:23 UTC,82,251.2,163.8
2017-05-29 13:52:23 UTC,83,249.7,165.3
2017-05-29 13:55:23 UTC,84,252.3,169.2
2017-05-29 14:01:23 UTC,85,252.4,172.3
2017-05-29 14:05:53 UTC,86,251.6,174.8
2017-05-29 14:10:23 UTC,87,244.5,175.2
2017-05-29 14:16:23 UTC,88,244.9,176.8
2017-05-29 14:25:23 UTC,89,247.9,178.7
2017-05-29 14:29:53 UTC,90,250.4,181
2017-05-29 14:37:23 UTC,91,251.8,181.3
2017-05-29 14:43:23 UTC,92,248.9,181.4
2017-05-29 14:47:53 UTC,93,253.8,183.7
2017-05-29 14:50:53 UTC,94,252.6,186.2
2017-05-29 14:58:23 UTC,95,255.5,188.8
2017-05-29 15:02:53 UTC,96,250.4,190.4
2017-05-29 15:10:23 UTC,97,247.9,190.7
2017-05-29 15:16:23 UTC,98,245.3,192
2017-05-29 15:20:53 UTC,99,251.3,192.9
2017-05-29 15:28:23 UTC,100,253.3,193.3
